날짜,시간,코호트,세션기간(초),항목URL,종료URL,브라우저,디바이스,OS,국가,페이지수,클릭수,검색여부,쿠폰사용,장바구니담기,찜하기수,리뷰읽기,구매완료
2026-03-22,07:12,cohort_A,42,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,3,5,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,08:35,cohort_A,67,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,7,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,09:03,cohort_A,38,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,3,4,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,09:45,cohort_A,55,/ecommerce/events,/ecommerce/order-complete,Firefox,PC,Linux,KR,4,6,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,10:22,cohort_A,73,/ecommerce/category/food,/ecommerce/order-complete,Chrome,PC,Windows,KR,5,8,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,11:18,cohort_A,31,/ecommerce/events,/ecommerce/order-complete,Chrome,Mobile,Windows,KR,3,4,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,12:05,cohort_A,88,/ecommerce,/ecommerce/cart,Chrome,PC,Windows,KR,4,7,FALSE,TRUE,TRUE,0,FALSE,FALSE
2026-03-22,13:40,cohort_A,47,/ecommerce/events,/ecommerce/order-complete,Safari,PC,MacOS,KR,3,5,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,14:15,cohort_A,62,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,6,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,15:50,cohort_A,35,/ecommerce/category/living,/ecommerce/order-complete,Chrome,PC,Linux,KR,3,5,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,16:33,cohort_A,79,/ecommerce/events,/ecommerce/order-complete,Firefox,PC,Windows,KR,5,8,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-22,17:28,cohort_A,44,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,3,4,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,19:02,cohort_A,56,/ecommerce/events,/ecommerce/cart,Chrome,Mobile,MacOS,KR,4,6,FALSE,TRUE,TRUE,0,FALSE,FALSE
2026-03-23,06:48,cohort_A,69,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,7,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-23,08:10,cohort_A,41,/ecommerce,/ecommerce/order-complete,Safari,PC,MacOS,KR,3,5,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,09:25,cohort_A,83,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,5,7,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-23,10:55,cohort_A,37,/ecommerce/category/food,/ecommerce/order-complete,Chrome,PC,Linux,KR,3,4,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-23,11:40,cohort_A,52,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,6,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-23,13:15,cohort_A,90,/ecommerce,/ecommerce/cart,Firefox,PC,Windows,KR,5,8,FALSE,TRUE,TRUE,0,FALSE,FALSE
2026-03-23,14:08,cohort_A,33,/ecommerce/events,/ecommerce/order-complete,Chrome,Mobile,Windows,KR,3,5,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-23,15:30,cohort_A,61,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,6,FALSE,FALSE,TRUE,0,FALSE,TRUE
2026-03-23,17:45,cohort_A,48,/ecommerce/category/living,/ecommerce/order-complete,Safari,PC,MacOS,KR,3,5,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-23,19:20,cohort_A,76,/ecommerce/events,/ecommerce/order-complete,Chrome,PC,Windows,KR,4,7,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-23,20:55,cohort_A,30,/ecommerce/events,/ecommerce/cart,Chrome,PC,Linux,KR,3,4,FALSE,TRUE,TRUE,0,FALSE,FALSE
2026-03-23,22:10,cohort_A,58,/ecommerce,/ecommerce/order-complete,Chrome,Mobile,Windows,KR,4,6,FALSE,TRUE,TRUE,0,FALSE,TRUE
2026-03-22,07:55,cohort_B,245,/ecommerce,/ecommerce/product/t3,Chrome,PC,Windows,KR,8,15,TRUE,FALSE,FALSE,3,TRUE,FALSE
2026-03-22,09:30,cohort_B,312,/ecommerce/category/tech,/ecommerce/product/t7,Safari,PC,MacOS,KR,10,22,TRUE,FALSE,TRUE,4,TRUE,TRUE
2026-03-22,10:48,cohort_B,198,/ecommerce,/ecommerce/category/beauty,Chrome,PC,Windows,KR,7,12,FALSE,FALSE,FALSE,2,TRUE,FALSE
2026-03-22,12:15,cohort_B,367,/ecommerce/category/beauty,/ecommerce/product/b5,Chrome,PC,Windows,KR,11,24,TRUE,FALSE,TRUE,5,TRUE,TRUE
2026-03-22,13:22,cohort_B,280,/ecommerce,/ecommerce/product/t1,Edge,PC,MacOS,KR,9,18,TRUE,FALSE,FALSE,3,TRUE,FALSE
2026-03-22,15:05,cohort_B,225,/ecommerce,/ecommerce/category/tech,Chrome,PC,Windows,KR,7,14,FALSE,FALSE,FALSE,2,TRUE,FALSE
2026-03-22,16:40,cohort_B,390,/ecommerce/category/tech,/ecommerce/order-complete,Chrome,PC,Linux,KR,12,25,TRUE,FALSE,TRUE,4,TRUE,TRUE
2026-03-22,18:12,cohort_B,183,/ecommerce,/ecommerce/product/b2,Safari,PC,MacOS,KR,6,11,FALSE,FALSE,FALSE,3,TRUE,FALSE
2026-03-22,20:30,cohort_B,295,/ecommerce/category/beauty,/ecommerce/product/b8,Chrome,PC,MacOS,KR,9,19,TRUE,FALSE,TRUE,5,TRUE,FALSE
2026-03-22,22:15,cohort_B,350,/ecommerce,/ecommerce/order-complete,Edge,PC,Windows,KR,11,21,TRUE,FALSE,TRUE,4,TRUE,TRUE
2026-03-23,07:20,cohort_B,210,/ecommerce,/ecommerce/product/t5,Chrome,PC,Windows,KR,7,13,FALSE,FALSE,FALSE,2,TRUE,FALSE
2026-03-23,08:45,cohort_B,275,/ecommerce/category/tech,/ecommerce/category/beauty,Chrome,PC,Windows,KR,8,16,TRUE,FALSE,FALSE,3,TRUE,FALSE
2026-03-23,10:10,cohort_B,340,/ecommerce,/ecommerce/product/b4,Chrome,Mobile,MacOS,KR,10,20,TRUE,FALSE,TRUE,4,TRUE,FALSE
2026-03-23,12:35,cohort_B,195,/ecommerce,/ecommerce/category/tech,Safari,PC,MacOS,KR,6,10,FALSE,FALSE,FALSE,2,TRUE,FALSE
2026-03-23,14:50,cohort_B,400,/ecommerce/category/beauty,/ecommerce/product/b6,Chrome,PC,Windows,KR,12,23,TRUE,FALSE,FALSE,5,TRUE,FALSE
2026-03-23,16:25,cohort_B,260,/ecommerce,/ecommerce/product/t9,Edge,PC,Windows,KR,8,17,FALSE,FALSE,FALSE,3,TRUE,FALSE
2026-03-23,18:00,cohort_B,315,/ecommerce/category/tech,/ecommerce/product/t2,Chrome,PC,MacOS,KR,10,22,TRUE,FALSE,TRUE,4,TRUE,FALSE
2026-03-23,20:40,cohort_B,188,/ecommerce,/ecommerce/category/beauty,Chrome,PC,Windows,KR,7,11,FALSE,FALSE,FALSE,2,TRUE,FALSE
2026-03-23,22:05,cohort_B,330,/ecommerce,/ecommerce/product/b1,Edge,Mobile,Linux,KR,9,19,TRUE,FALSE,TRUE,3,TRUE,FALSE
2026-03-23,22:50,cohort_B,235,/ecommerce/category/beauty,/ecommerce/product/b9,Chrome,PC,Windows,KR,8,14,TRUE,FALSE,FALSE,3,TRUE,FALSE
2026-03-22,08:20,cohort_C,95,/ecommerce,/ecommerce/order-complete,ChromeMobile,Mobile,Android,KR,5,8,FALSE,FALSE,TRUE,1,FALSE,TRUE
2026-03-22,09:50,cohort_C,72,/ecommerce,/ecommerce/product/f3,Safari,Mobile,iOS,KR,4,6,FALSE,FALSE,FALSE,0,FALSE,FALSE
2026-03-22,10:35,cohort_C,130,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,6,11,FALSE,FALSE,TRUE,2,FALSE,TRUE
2026-03-22,11:55,cohort_C,68,/ecommerce/category/fashion,/ecommerce/product/f7,ChromeMobile,Mobile,iOS,KR,4,5,FALSE,FALSE,FALSE,0,FALSE,FALSE
2026-03-22,13:10,cohort_C,112,/ecommerce,/ecommerce/order-complete,ChromeMobile,Mobile,Android,KR,5,9,FALSE,FALSE,TRUE,1,FALSE,TRUE
2026-03-22,14:45,cohort_C,85,/ecommerce,/ecommerce/category/fashion,Safari,PC,MacOS,KR,5,7,FALSE,FALSE,FALSE,0,FALSE,FALSE
2026-03-22,16:20,cohort_C,148,/ecommerce,/ecommerce/order-complete,Chrome,PC,Windows,KR,7,12,FALSE,FALSE,TRUE,2,FALSE,TRUE
